qi1vsqi2	qi1	qi2	Problem	pairAlgs	AlgA	AlgB	resQI1	resQI2	Agree
EDvsPFS	ED	PFS	TP1	MOCELL_NSGAII	MOCELL	NSGAII	ND	ND	TRUE
EDvsC	ED	C	TP1	MOCELL_NSGAII	MOCELL	NSGAII	ND	A	FALSE
PFSvsC	PFS	C	TP1	MOCELL_NSGAII	MOCELL	NSGAII	ND	A	FALSE
HVvsIGD	HV	IGD	TP1	MOCELL_PAES	MOCELL	PAES	A	A	TRUE
HVvsEP	HV	EP	TP1	MOCELL_PAES	MOCELL	PAES	A	A	TRUE
HVvsGD	HV	GD	TP1	MOCELL_PAES	MOCELL	PAES	A	A	TRUE
HVvsGS	HV	GS	TP1	MOCELL_PAES	MOCELL	PAES	A	A	TRUE
HVvsED	HV	ED	TP1	MOCELL_PAES	MOCELL	PAES	A	A	TRUE
HVvsPFS	HV	PFS	TP1	MOCELL_PAES	MOCELL	PAES	A	A	TRUE
HVvsC	HV	C	TP1	MOCELL_PAES	MOCELL	PAES	A	A	TRUE
IGDvsEP	IGD	EP	TP1	MOCELL_PAES	MOCELL	PAES	A	A	TRUE
IGDvsGD	IGD	GD	TP1	MOCELL_PAES	MOCELL	PAES	A	A	TRUE
IGDvsGS	IGD	GS	TP1	MOCELL_PAES	MOCELL	PAES	A	A	TRUE
IGDvsED	IGD	ED	TP1	MOCELL_PAES	MOCELL	PAES	A	A	TRUE
IGDvsPFS	IGD	PFS	TP1	MOCELL_PAES	MOCELL	PAES	A	A	TRUE
IGDvsC	IGD	C	TP1	MOCELL_PAES	MOCELL	PAES	A	A	TRUE
EPvsGD	EP	GD	TP1	MOCELL_PAES	MOCELL	PAES	A	A	TRUE
EPvsGS	EP	GS	TP1	MOCELL_PAES	MOCELL	PAES	A	A	TRUE
EPvsED	EP	ED	TP1	MOCELL_PAES	MOCELL	PAES	A	A	TRUE
EPvsPFS	EP	PFS	TP1	MOCELL_PAES	MOCELL	PAES	A	A	TRUE
EPvsC	EP	C	TP1	MOCELL_PAES	MOCELL	PAES	A	A	TRUE
GDvsGS	GD	GS	TP1	MOCELL_PAES	MOCELL	PAES	A	A	TRUE
GDvsED	GD	ED	TP1	MOCELL_PAES	MOCELL	PAES	A	A	TRUE
GDvsPFS	GD	PFS	TP1	MOCELL_PAES	MOCELL	PAES	A	A	TRUE
GDvsC	GD	C	TP1	MOCELL_PAES	MOCELL	PAES	A	A	TRUE
GSvsED	GS	ED	TP1	MOCELL_PAES	MOCELL	PAES	A	A	TRUE
GSvsPFS	GS	PFS	TP1	MOCELL_PAES	MOCELL	PAES	A	A	TRUE
GSvsC	GS	C	TP1	MOCELL_PAES	MOCELL	PAES	A	A	TRUE
EDvsPFS	ED	PFS	TP1	MOCELL_PAES	MOCELL	PAES	A	A	TRUE
EDvsC	ED	C	TP1	MOCELL_PAES	MOCELL	PAES	A	A	TRUE
PFSvsC	PFS	C	TP1	MOCELL_PAES	MOCELL	PAES	A	A	TRUE
HVvsIGD	HV	IGD	TP1	MOCELL_SMPSO	MOCELL	SMPSO	B	B	TRUE
HVvsEP	HV	EP	TP1	MOCELL_SMPSO	MOCELL	SMPSO	B	B	TRUE
HVvsGD	HV	GD	TP1	MOCELL_SMPSO	MOCELL	SMPSO	B	A	FALSE
HVvsGS	HV	GS	TP1	MOCELL_SMPSO	MOCELL	SMPSO	B	B	TRUE
HVvsED	HV	ED	TP1	MOCELL_SMPSO	MOCELL	SMPSO	B	A	FALSE
HVvsPFS	HV	PFS	TP1	MOCELL_SMPSO	MOCELL	SMPSO	B	ND	FALSE
HVvsC	HV	C	TP1	MOCELL_SMPSO	MOCELL	SMPSO	B	A	FALSE
IGDvsEP	IGD	EP	TP1	MOCELL_SMPSO	MOCELL	SMPSO	B	B	TRUE
IGDvsGD	IGD	GD	TP1	MOCELL_SMPSO	MOCELL	SMPSO	B	A	FALSE
IGDvsGS	IGD	GS	TP1	MOCELL_SMPSO	MOCELL	SMPSO	B	B	TRUE
IGDvsED	IGD	ED	TP1	MOCELL_SMPSO	MOCELL	SMPSO	B	A	FALSE
IGDvsPFS	IGD	PFS	TP1	MOCELL_SMPSO	MOCELL	SMPSO	B	ND	FALSE
IGDvsC	IGD	C	TP1	MOCELL_SMPSO	MOCELL	SMPSO	B	A	FALSE
EPvsGD	EP	GD	TP1	MOCELL_SMPSO	MOCELL	SMPSO	B	A	FALSE
EPvsGS	EP	GS	TP1	MOCELL_SMPSO	MOCELL	SMPSO	B	B	TRUE
EPvsED	EP	ED	TP1	MOCELL_SMPSO	MOCELL	SMPSO	B	A	FALSE
EPvsPFS	EP	PFS	TP1	MOCELL_SMPSO	MOCELL	SMPSO	B	ND	FALSE
EPvsC	EP	C	TP1	MOCELL_SMPSO	MOCELL	SMPSO	B	A	FALSE
GDvsGS	GD	GS	TP1	MOCELL_SMPSO	MOCELL	SMPSO	A	B	FALSE
GDvsED	GD	ED	TP1	MOCELL_SMPSO	MOCELL	SMPSO	A	A	TRUE
GDvsPFS	GD	PFS	TP1	MOCELL_SMPSO	MOCELL	SMPSO	A	ND	FALSE
GDvsC	GD	C	TP1	MOCELL_SMPSO	MOCELL	SMPSO	A	A	TRUE
GSvsED	GS	ED	TP1	MOCELL_SMPSO	MOCELL	SMPSO	B	A	FALSE
GSvsPFS	GS	PFS	TP1	MOCELL_SMPSO	MOCELL	SMPSO	B	ND	FALSE
GSvsC	GS	C	TP1	MOCELL_SMPSO	MOCELL	SMPSO	B	A	FALSE
EDvsPFS	ED	PFS	TP1	MOCELL_SMPSO	MOCELL	SMPSO	A	ND	FALSE
EDvsC	ED	C	TP1	MOCELL_SMPSO	MOCELL	SMPSO	A	A	TRUE
PFSvsC	PFS	C	TP1	MOCELL_SMPSO	MOCELL	SMPSO	ND	A	FALSE
HVvsIGD	HV	IGD	TP1	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
HVvsEP	HV	EP	TP1	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
HVvsGD	HV	GD	TP1	MOCELL_SPEA2	MOCELL	SPEA2	B	ND	FALSE
HVvsGS	HV	GS	TP1	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
HVvsED	HV	ED	TP1	MOCELL_SPEA2	MOCELL	SPEA2	B	ND	FALSE
HVvsPFS	HV	PFS	TP1	MOCELL_SPEA2	MOCELL	SPEA2	B	ND	FALSE
HVvsC	HV	C	TP1	MOCELL_SPEA2	MOCELL	SPEA2	B	ND	FALSE
IGDvsEP	IGD	EP	TP1	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
IGDvsGD	IGD	GD	TP1	MOCELL_SPEA2	MOCELL	SPEA2	B	ND	FALSE
IGDvsGS	IGD	GS	TP1	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
IGDvsED	IGD	ED	TP1	MOCELL_SPEA2	MOCELL	SPEA2	B	ND	FALSE
IGDvsPFS	IGD	PFS	TP1	MOCELL_SPEA2	MOCELL	SPEA2	B	ND	FALSE
IGDvsC	IGD	C	TP1	MOCELL_SPEA2	MOCELL	SPEA2	B	ND	FALSE
EPvsGD	EP	GD	TP1	MOCELL_SPEA2	MOCELL	SPEA2	B	ND	FALSE
EPvsGS	EP	GS	TP1	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
EPvsED	EP	ED	TP1	MOCELL_SPEA2	MOCELL	SPEA2	B	ND	FALSE
EPvsPFS	EP	PFS	TP1	MOCELL_SPEA2	MOCELL	SPEA2	B	ND	FALSE
EPvsC	EP	C	TP1	MOCELL_SPEA2	MOCELL	SPEA2	B	ND	FALSE
GDvsGS	GD	GS	TP1	MOCELL_SPEA2	MOCELL	SPEA2	ND	B	FALSE
GDvsED	GD	ED	TP1	MOCELL_SPEA2	MOCELL	SPEA2	ND	ND	TRUE
GDvsPFS	GD	PFS	TP1	MOCELL_SPEA2	MOCELL	SPEA2	ND	ND	TRUE
GDvsC	GD	C	TP1	MOCELL_SPEA2	MOCELL	SPEA2	ND	ND	TRUE
GSvsED	GS	ED	TP1	MOCELL_SPEA2	MOCELL	SPEA2	B	ND	FALSE
GSvsPFS	GS	PFS	TP1	MOCELL_SPEA2	MOCELL	SPEA2	B	ND	FALSE
GSvsC	GS	C	TP1	MOCELL_SPEA2	MOCELL	SPEA2	B	ND	FALSE
EDvsPFS	ED	PFS	TP1	MOCELL_SPEA2	MOCELL	SPEA2	ND	ND	TRUE
EDvsC	ED	C	TP1	MOCELL_SPEA2	MOCELL	SPEA2	ND	ND	TRUE
PFSvsC	PFS	C	TP1	MOCELL_SPEA2	MOCELL	SPEA2	ND	ND	TRUE
HVvsIGD	HV	IGD	TP1	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
HVvsEP	HV	EP	TP1	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
HVvsGD	HV	GD	TP1	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
HVvsGS	HV	GS	TP1	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
HVvsED	HV	ED	TP1	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
HVvsPFS	HV	PFS	TP1	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
HVvsC	HV	C	TP1	NSGAII_PAES	NSGAII	PAES	A	ND	FALSE
IGDvsEP	IGD	EP	TP1	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
IGDvsGD	IGD	GD	TP1	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
IGDvsGS	IGD	GS	TP1	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
IGDvsED	IGD	ED	TP1	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
IGDvsPFS	IGD	PFS	TP1	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
IGDvsC	IGD	C	TP1	NSGAII_PAES	NSGAII	PAES	A	ND	FALSE
EPvsGD	EP	GD	TP1	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
EPvsGS	EP	GS	TP1	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
EPvsED	EP	ED	TP1	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
EPvsPFS	EP	PFS	TP1	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
EPvsC	EP	C	TP1	NSGAII_PAES	NSGAII	PAES	A	ND	FALSE
GDvsGS	GD	GS	TP1	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
GDvsED	GD	ED	TP1	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
GDvsPFS	GD	PFS	TP1	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
GDvsC	GD	C	TP1	NSGAII_PAES	NSGAII	PAES	A	ND	FALSE
GSvsED	GS	ED	TP1	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
GSvsPFS	GS	PFS	TP1	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
GSvsC	GS	C	TP1	NSGAII_PAES	NSGAII	PAES	A	ND	FALSE
EDvsPFS	ED	PFS	TP1	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
EDvsC	ED	C	TP1	NSGAII_PAES	NSGAII	PAES	A	ND	FALSE
PFSvsC	PFS	C	TP1	NSGAII_PAES	NSGAII	PAES	A	ND	FALSE
HVvsIGD	HV	IGD	TP1	NSGAII_SMPSO	NSGAII	SMPSO	B	A	FALSE
HVvsEP	HV	EP	TP1	NSGAII_SMPSO	NSGAII	SMPSO	B	B	TRUE
HVvsGD	HV	GD	TP1	NSGAII_SMPSO	NSGAII	SMPSO	B	A	FALSE
HVvsGS	HV	GS	TP1	NSGAII_SMPSO	NSGAII	SMPSO	B	B	TRUE
HVvsED	HV	ED	TP1	NSGAII_SMPSO	NSGAII	SMPSO	B	A	FALSE
HVvsPFS	HV	PFS	TP1	NSGAII_SMPSO	NSGAII	SMPSO	B	ND	FALSE
HVvsC	HV	C	TP1	NSGAII_SMPSO	NSGAII	SMPSO	B	A	FALSE
IGDvsEP	IGD	EP	TP1	NSGAII_SMPSO	NSGAII	SMPSO	A	B	FALSE
IGDvsGD	IGD	GD	TP1	NSGAII_SMPSO	NSGAII	SMPSO	A	A	TRUE
IGDvsGS	IGD	GS	TP1	NSGAII_SMPSO	NSGAII	SMPSO	A	B	FALSE
IGDvsED	IGD	ED	TP1	NSGAII_SMPSO	NSGAII	SMPSO	A	A	TRUE
IGDvsPFS	IGD	PFS	TP1	NSGAII_SMPSO	NSGAII	SMPSO	A	ND	FALSE
IGDvsC	IGD	C	TP1	NSGAII_SMPSO	NSGAII	SMPSO	A	A	TRUE
EPvsGD	EP	GD	TP1	NSGAII_SMPSO	NSGAII	SMPSO	B	A	FALSE
EPvsGS	EP	GS	TP1	NSGAII_SMPSO	NSGAII	SMPSO	B	B	TRUE
EPvsED	EP	ED	TP1	NSGAII_SMPSO	NSGAII	SMPSO	B	A	FALSE
EPvsPFS	EP	PFS	TP1	NSGAII_SMPSO	NSGAII	SMPSO	B	ND	FALSE
EPvsC	EP	C	TP1	NSGAII_SMPSO	NSGAII	SMPSO	B	A	FALSE
GDvsGS	GD	GS	TP1	NSGAII_SMPSO	NSGAII	SMPSO	A	B	FALSE
GDvsED	GD	ED	TP1	NSGAII_SMPSO	NSGAII	SMPSO	A	A	TRUE
GDvsPFS	GD	PFS	TP1	NSGAII_SMPSO	NSGAII	SMPSO	A	ND	FALSE
GDvsC	GD	C	TP1	NSGAII_SMPSO	NSGAII	SMPSO	A	A	TRUE
GSvsED	GS	ED	TP1	NSGAII_SMPSO	NSGAII	SMPSO	B	A	FALSE
GSvsPFS	GS	PFS	TP1	NSGAII_SMPSO	NSGAII	SMPSO	B	ND	FALSE
GSvsC	GS	C	TP1	NSGAII_SMPSO	NSGAII	SMPSO	B	A	FALSE
EDvsPFS	ED	PFS	TP1	NSGAII_SMPSO	NSGAII	SMPSO	A	ND	FALSE
EDvsC	ED	C	TP1	NSGAII_SMPSO	NSGAII	SMPSO	A	A	TRUE
PFSvsC	PFS	C	TP1	NSGAII_SMPSO	NSGAII	SMPSO	ND	A	FALSE
HVvsIGD	HV	IGD	TP1	NSGAII_SPEA2	NSGAII	SPEA2	A	A	TRUE
HVvsEP	HV	EP	TP1	NSGAII_SPEA2	NSGAII	SPEA2	A	A	TRUE
HVvsGD	HV	GD	TP1	NSGAII_SPEA2	NSGAII	SPEA2	A	B	FALSE
HVvsGS	HV	GS	TP1	NSGAII_SPEA2	NSGAII	SPEA2	A	B	FALSE
HVvsED	HV	ED	TP1	NSGAII_SPEA2	NSGAII	SPEA2	A	ND	FALSE
HVvsPFS	HV	PFS	TP1	NSGAII_SPEA2	NSGAII	SPEA2	A	ND	FALSE
HVvsC	HV	C	TP1	NSGAII_SPEA2	NSGAII	SPEA2	A	ND	FALSE
IGDvsEP	IGD	EP	TP1	NSGAII_SPEA2	NSGAII	SPEA2	A	A	TRUE
IGDvsGD	IGD	GD	TP1	NSGAII_SPEA2	NSGAII	SPEA2	A	B	FALSE
IGDvsGS	IGD	GS	TP1	NSGAII_SPEA2	NSGAII	SPEA2	A	B	FALSE
IGDvsED	IGD	ED	TP1	NSGAII_SPEA2	NSGAII	SPEA2	A	ND	FALSE
IGDvsPFS	IGD	PFS	TP1	NSGAII_SPEA2	NSGAII	SPEA2	A	ND	FALSE
IGDvsC	IGD	C	TP1	NSGAII_SPEA2	NSGAII	SPEA2	A	ND	FALSE
EPvsGD	EP	GD	TP1	NSGAII_SPEA2	NSGAII	SPEA2	A	B	FALSE
EPvsGS	EP	GS	TP1	NSGAII_SPEA2	NSGAII	SPEA2	A	B	FALSE
EPvsED	EP	ED	TP1	NSGAII_SPEA2	NSGAII	SPEA2	A	ND	FALSE
EPvsPFS	EP	PFS	TP1	NSGAII_SPEA2	NSGAII	SPEA2	A	ND	FALSE
EPvsC	EP	C	TP1	NSGAII_SPEA2	NSGAII	SPEA2	A	ND	FALSE
GDvsGS	GD	GS	TP1	NSGAII_SPEA2	NSGAII	SPEA2	B	B	TRUE
GDvsED	GD	ED	TP1	NSGAII_SPEA2	NSGAII	SPEA2	B	ND	FALSE
GDvsPFS	GD	PFS	TP1	NSGAII_SPEA2	NSGAII	SPEA2	B	ND	FALSE
GDvsC	GD	C	TP1	NSGAII_SPEA2	NSGAII	SPEA2	B	ND	FALSE
GSvsED	GS	ED	TP1	NSGAII_SPEA2	NSGAII	SPEA2	B	ND	FALSE
GSvsPFS	GS	PFS	TP1	NSGAII_SPEA2	NSGAII	SPEA2	B	ND	FALSE
GSvsC	GS	C	TP1	NSGAII_SPEA2	NSGAII	SPEA2	B	ND	FALSE
EDvsPFS	ED	PFS	TP1	NSGAII_SPEA2	NSGAII	SPEA2	ND	ND	TRUE
EDvsC	ED	C	TP1	NSGAII_SPEA2	NSGAII	SPEA2	ND	ND	TRUE
PFSvsC	PFS	C	TP1	NSGAII_SPEA2	NSGAII	SPEA2	ND	ND	TRUE
HVvsIGD	HV	IGD	TP1	PAES_SMPSO	PAES	SMPSO	B	B	TRUE
HVvsEP	HV	EP	TP1	PAES_SMPSO	PAES	SMPSO	B	B	TRUE
HVvsGD	HV	GD	TP1	PAES_SMPSO	PAES	SMPSO	B	A	FALSE
HVvsGS	HV	GS	TP1	PAES_SMPSO	PAES	SMPSO	B	B	TRUE
HVvsED	HV	ED	TP1	PAES_SMPSO	PAES	SMPSO	B	A	FALSE
HVvsPFS	HV	PFS	TP1	PAES_SMPSO	PAES	SMPSO	B	B	TRUE
HVvsC	HV	C	TP1	PAES_SMPSO	PAES	SMPSO	B	A	FALSE
IGDvsEP	IGD	EP	TP1	PAES_SMPSO	PAES	SMPSO	B	B	TRUE
IGDvsGD	IGD	GD	TP1	PAES_SMPSO	PAES	SMPSO	B	A	FALSE
IGDvsGS	IGD	GS	TP1	PAES_SMPSO	PAES	SMPSO	B	B	TRUE
IGDvsED	IGD	ED	TP1	PAES_SMPSO	PAES	SMPSO	B	A	FALSE
IGDvsPFS	IGD	PFS	TP1	PAES_SMPSO	PAES	SMPSO	B	B	TRUE
IGDvsC	IGD	C	TP1	PAES_SMPSO	PAES	SMPSO	B	A	FALSE
EPvsGD	EP	GD	TP1	PAES_SMPSO	PAES	SMPSO	B	A	FALSE
EPvsGS	EP	GS	TP1	PAES_SMPSO	PAES	SMPSO	B	B	TRUE
EPvsED	EP	ED	TP1	PAES_SMPSO	PAES	SMPSO	B	A	FALSE
EPvsPFS	EP	PFS	TP1	PAES_SMPSO	PAES	SMPSO	B	B	TRUE
EPvsC	EP	C	TP1	PAES_SMPSO	PAES	SMPSO	B	A	FALSE
GDvsGS	GD	GS	TP1	PAES_SMPSO	PAES	SMPSO	A	B	FALSE
GDvsED	GD	ED	TP1	PAES_SMPSO	PAES	SMPSO	A	A	TRUE
GDvsPFS	GD	PFS	TP1	PAES_SMPSO	PAES	SMPSO	A	B	FALSE
GDvsC	GD	C	TP1	PAES_SMPSO	PAES	SMPSO	A	A	TRUE
GSvsED	GS	ED	TP1	PAES_SMPSO	PAES	SMPSO	B	A	FALSE
GSvsPFS	GS	PFS	TP1	PAES_SMPSO	PAES	SMPSO	B	B	TRUE
GSvsC	GS	C	TP1	PAES_SMPSO	PAES	SMPSO	B	A	FALSE
EDvsPFS	ED	PFS	TP1	PAES_SMPSO	PAES	SMPSO	A	B	FALSE
EDvsC	ED	C	TP1	PAES_SMPSO	PAES	SMPSO	A	A	TRUE
PFSvsC	PFS	C	TP1	PAES_SMPSO	PAES	SMPSO	B	A	FALSE
HVvsIGD	HV	IGD	TP1	PAES_SPEA2	PAES	SPEA2	B	B	TRUE
HVvsEP	HV	EP	TP1	PAES_SPEA2	PAES	SPEA2	B	B	TRUE
HVvsGD	HV	GD	TP1	PAES_SPEA2	PAES	SPEA2	B	B	TRUE
HVvsGS	HV	GS	TP1	PAES_SPEA2	PAES	SPEA2	B	B	TRUE
HVvsED	HV	ED	TP1	PAES_SPEA2	PAES	SPEA2	B	B	TRUE
HVvsPFS	HV	PFS	TP1	PAES_SPEA2	PAES	SPEA2	B	B	TRUE
HVvsC	HV	C	TP1	PAES_SPEA2	PAES	SPEA2	B	ND	FALSE
IGDvsEP	IGD	EP	TP1	PAES_SPEA2	PAES	SPEA2	B	B	TRUE
IGDvsGD	IGD	GD	TP1	PAES_SPEA2	PAES	SPEA2	B	B	TRUE
IGDvsGS	IGD	GS	TP1	PAES_SPEA2	PAES	SPEA2	B	B	TRUE
IGDvsED	IGD	ED	TP1	PAES_SPEA2	PAES	SPEA2	B	B	TRUE
IGDvsPFS	IGD	PFS	TP1	PAES_SPEA2	PAES	SPEA2	B	B	TRUE
IGDvsC	IGD	C	TP1	PAES_SPEA2	PAES	SPEA2	B	ND	FALSE
EPvsGD	EP	GD	TP1	PAES_SPEA2	PAES	SPEA2	B	B	TRUE
EPvsGS	EP	GS	TP1	PAES_SPEA2	PAES	SPEA2	B	B	TRUE
EPvsED	EP	ED	TP1	PAES_SPEA2	PAES	SPEA2	B	B	TRUE
EPvsPFS	EP	PFS	TP1	PAES_SPEA2	PAES	SPEA2	B	B	TRUE
EPvsC	EP	C	TP1	PAES_SPEA2	PAES	SPEA2	B	ND	FALSE
GDvsGS	GD	GS	TP1	PAES_SPEA2	PAES	SPEA2	B	B	TRUE
GDvsED	GD	ED	TP1	PAES_SPEA2	PAES	SPEA2	B	B	TRUE
GDvsPFS	GD	PFS	TP1	PAES_SPEA2	PAES	SPEA2	B	B	TRUE
GDvsC	GD	C	TP1	PAES_SPEA2	PAES	SPEA2	B	ND	FALSE
GSvsED	GS	ED	TP1	PAES_SPEA2	PAES	SPEA2	B	B	TRUE
GSvsPFS	GS	PFS	TP1	PAES_SPEA2	PAES	SPEA2	B	B	TRUE
GSvsC	GS	C	TP1	PAES_SPEA2	PAES	SPEA2	B	ND	FALSE
EDvsPFS	ED	PFS	TP1	PAES_SPEA2	PAES	SPEA2	B	B	TRUE
EDvsC	ED	C	TP1	PAES_SPEA2	PAES	SPEA2	B	ND	FALSE
PFSvsC	PFS	C	TP1	PAES_SPEA2	PAES	SPEA2	B	ND	FALSE
HVvsIGD	HV	IGD	TP1	SMPSO_SPEA2	SMPSO	SPEA2	A	ND	FALSE
HVvsEP	HV	EP	TP1	SMPSO_SPEA2	SMPSO	SPEA2	A	A	TRUE
HVvsGD	HV	GD	TP1	SMPSO_SPEA2	SMPSO	SPEA2	A	B	FALSE
HVvsGS	HV	GS	TP1	SMPSO_SPEA2	SMPSO	SPEA2	A	A	TRUE
HVvsED	HV	ED	TP1	SMPSO_SPEA2	SMPSO	SPEA2	A	B	FALSE
HVvsPFS	HV	PFS	TP1	SMPSO_SPEA2	SMPSO	SPEA2	A	ND	FALSE
HVvsC	HV	C	TP1	SMPSO_SPEA2	SMPSO	SPEA2	A	B	FALSE
IGDvsEP	IGD	EP	TP1	SMPSO_SPEA2	SMPSO	SPEA2	ND	A	FALSE
IGDvsGD	IGD	GD	TP1	SMPSO_SPEA2	SMPSO	SPEA2	ND	B	FALSE
IGDvsGS	IGD	GS	TP1	SMPSO_SPEA2	SMPSO	SPEA2	ND	A	FALSE
IGDvsED	IGD	ED	TP1	SMPSO_SPEA2	SMPSO	SPEA2	ND	B	FALSE
IGDvsPFS	IGD	PFS	TP1	SMPSO_SPEA2	SMPSO	SPEA2	ND	ND	TRUE
IGDvsC	IGD	C	TP1	SMPSO_SPEA2	SMPSO	SPEA2	ND	B	FALSE
EPvsGD	EP	GD	TP1	SMPSO_SPEA2	SMPSO	SPEA2	A	B	FALSE
EPvsGS	EP	GS	TP1	SMPSO_SPEA2	SMPSO	SPEA2	A	A	TRUE
EPvsED	EP	ED	TP1	SMPSO_SPEA2	SMPSO	SPEA2	A	B	FALSE
EPvsPFS	EP	PFS	TP1	SMPSO_SPEA2	SMPSO	SPEA2	A	ND	FALSE
EPvsC	EP	C	TP1	SMPSO_SPEA2	SMPSO	SPEA2	A	B	FALSE
GDvsGS	GD	GS	TP1	SMPSO_SPEA2	SMPSO	SPEA2	B	A	FALSE
GDvsED	GD	ED	TP1	SMPSO_SPEA2	SMPSO	SPEA2	B	B	TRUE
GDvsPFS	GD	PFS	TP1	SMPSO_SPEA2	SMPSO	SPEA2	B	ND	FALSE
GDvsC	GD	C	TP1	SMPSO_SPEA2	SMPSO	SPEA2	B	B	TRUE
GSvsED	GS	ED	TP1	SMPSO_SPEA2	SMPSO	SPEA2	A	B	FALSE
GSvsPFS	GS	PFS	TP1	SMPSO_SPEA2	SMPSO	SPEA2	A	ND	FALSE
GSvsC	GS	C	TP1	SMPSO_SPEA2	SMPSO	SPEA2	A	B	FALSE
EDvsPFS	ED	PFS	TP1	SMPSO_SPEA2	SMPSO	SPEA2	B	ND	FALSE
EDvsC	ED	C	TP1	SMPSO_SPEA2	SMPSO	SPEA2	B	B	TRUE
PFSvsC	PFS	C	TP1	SMPSO_SPEA2	SMPSO	SPEA2	ND	B	FALSE
HVvsIGD	HV	IGD	TP2_1	CELLDE_MOCELL	CELLDE	MOCELL	B	B	TRUE
HVvsEP	HV	EP	TP2_1	CELLDE_MOCELL	CELLDE	MOCELL	B	B	TRUE
HVvsGD	HV	GD	TP2_1	CELLDE_MOCELL	CELLDE	MOCELL	B	B	TRUE
HVvsGS	HV	GS	TP2_1	CELLDE_MOCELL	CELLDE	MOCELL	B	A	FALSE
HVvsED	HV	ED	TP2_1	CELLDE_MOCELL	CELLDE	MOCELL	B	B	TRUE
HVvsPFS	HV	PFS	TP2_1	CELLDE_MOCELL	CELLDE	MOCELL	B	A	FALSE
HVvsC	HV	C	TP2_1	CELLDE_MOCELL	CELLDE	MOCELL	B	ND	FALSE
IGDvsEP	IGD	EP	TP2_1	CELLDE_MOCELL	CELLDE	MOCELL	B	B	TRUE
IGDvsGD	IGD	GD	TP2_1	CELLDE_MOCELL	CELLDE	MOCELL	B	B	TRUE
IGDvsGS	IGD	GS	TP2_1	CELLDE_MOCELL	CELLDE	MOCELL	B	A	FALSE
IGDvsED	IGD	ED	TP2_1	CELLDE_MOCELL	CELLDE	MOCELL	B	B	TRUE
IGDvsPFS	IGD	PFS	TP2_1	CELLDE_MOCELL	CELLDE	MOCELL	B	A	FALSE
IGDvsC	IGD	C	TP2_1	CELLDE_MOCELL	CELLDE	MOCELL	B	ND	FALSE
EPvsGD	EP	GD	TP2_1	CELLDE_MOCELL	CELLDE	MOCELL	B	B	TRUE
EPvsGS	EP	GS	TP2_1	CELLDE_MOCELL	CELLDE	MOCELL	B	A	FALSE
EPvsED	EP	ED	TP2_1	CELLDE_MOCELL	CELLDE	MOCELL	B	B	TRUE
EPvsPFS	EP	PFS	TP2_1	CELLDE_MOCELL	CELLDE	MOCELL	B	A	FALSE
EPvsC	EP	C	TP2_1	CELLDE_MOCELL	CELLDE	MOCELL	B	ND	FALSE
GDvsGS	GD	GS	TP2_1	CELLDE_MOCELL	CELLDE	MOCELL	B	A	FALSE
GDvsED	GD	ED	TP2_1	CELLDE_MOCELL	CELLDE	MOCELL	B	B	TRUE
GDvsPFS	GD	PFS	TP2_1	CELLDE_MOCELL	CELLDE	MOCELL	B	A	FALSE
GDvsC	GD	C	TP2_1	CELLDE_MOCELL	CELLDE	MOCELL	B	ND	FALSE
GSvsED	GS	ED	TP2_1	CELLDE_MOCELL	CELLDE	MOCELL	A	B	FALSE
GSvsPFS	GS	PFS	TP2_1	CELLDE_MOCELL	CELLDE	MOCELL	A	A	TRUE
GSvsC	GS	C	TP2_1	CELLDE_MOCELL	CELLDE	MOCELL	A	ND	FALSE
EDvsPFS	ED	PFS	TP2_1	CELLDE_MOCELL	CELLDE	MOCELL	B	A	FALSE
EDvsC	ED	C	TP2_1	CELLDE_MOCELL	CELLDE	MOCELL	B	ND	FALSE
